A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,02; -0,00; 0,97; 1,04; 1,34; 2,69; 59; 11,27; -66,80
-0,03; 0,00; 0,96; 0,92; 1,22; 2,69; 59; 10,53; -66,63
-0,02; -0,00; 0,97; 0,85; 1,28; 2,56; 59; 11,23; -66,37
-0,02; -0,00; 0,97; 1,04; 1,16; 2,69; 60; 11,46; -65,38
-0,03; -0,01; 0,97; 0,98; 1,16; 2,69; 59; 11,06; -67,03
-0,02; -0,00; 0,97; 0,92; 1,10; 2,75; 59; 10,85; -66,88
-0,02; -0,00; 0,96; 1,16; 1,28; 2,56; 59; 10,84; -66,37
-0,02; -0,00; 0,97; 0,92; 1,28; 2,56; 59; 10,88; -67,42
-0,02; -0,00; 0,97; 0,98; 1,10; 2,69; 59; 11,15; -66,35
-0,02; -0,00; 0,97; 0,73; 1,16; 2,69; 59; 11,05; -66,00
-0,02; -0,01; 0,96; 1,16; 1,10; 2,87; 59; 11,50; -67,05
-0,02; -0,00; 0,97; 1,04; 1,28; 2,75; 59; 11,07; -66,96
-0,02; -0,00; 0,96; 1,22; 1,22; 2,81; 60; 11,15; -67,16
-0,13; 0,41; 1,84; -59,33; -50,29; -135,19; 95; -34,78; -28,67
-0,10; -0,11; -0,81; 504,94; -10,01; 29,30; 23; 41,03; 23,40
-0,13; -0,55; -0,11; -436,95; -32,71; 128,11; 27; 42,71; 0,93
-0,12; 0,86; 0,15; 157,10; -76,23; 50,23; 9; -11,83; 24,02
-0,14; 0,11; 1,03; 271,36; 19,78; -52,55; 20; -10,14; -2,15
-0,26; 0,17; 0,92; 117,74; -39,73; 3,48; 6; -5,54; -10,49
-0,08; -0,09; 0,99; 39,00; 57,50; -18,07; 24; -11,25; 1,71
0,53; 0,22; 0,65; 140,20; 86,24; -108,09; 34; -2,83; -5,32
0,36; -0,55; 0,59; 73,49; 93,20; -53,83; 35; 16,06; -12,02
0,78; 0,00; 0,53; -130,37; 13,85; -11,78; 30; 11,23; -16,55
0,77; -0,15; -0,68; 45,29; -29,24; 11,72; 30; 34,13; 28,85
0,94; 0,51; -0,20; 24,05; 55,97; -43,21; 43; 22,00; 17,97
0,93; -0,42; 0,07; -187,56; 14,40; 31,68; 44; 6,13; 6,18
-0,12; -0,71; 0,73; -188,48; 4,88; -12,08; 7; 39,45; 0,33
0,35; 1,17; 0,47; 612,18; -0,92; 206,91; 11; -12,57; 8,44
0,40; 0,63; -0,83; 945,86; -23,93; -34,91; 9; 11,61; 37,04
-0,05; 0,85; 0,50; -385,93; 74,04; -28,81; 2; -4,70; -1,14
0,17; 0,12; 0,59; 45,53; -95,76; 34,24; 17; -13,10; 10,75
0,13; -0,34; 0,71; 313,96; -46,33; 12,76; 0; 26,90; -17,40
0,30; 0,41; -0,73; 719,54; -36,80; 8,24; 7; 5,88; 36,84
0,51; 0,77; -0,35; 569,46; -101,81; 46,14; 13; -9,72; 23,30
0,59; -0,31; -0,78; 95,40; 0,73; 10,80; 16; 30,91; 36,72
0,54; 0,58; -0,66; 72,81; 8,54; 13,43; 15; -1,44; 33,47
0,37; -0,83; 0,32; -30,76; -9,34; -7,81; 7; 43,93; -9,00
0,45; -0,34; 0,75; 114,56; -18,62; -1,77; 31; 7,02; -14,47
0,80; -0,42; 0,40; -55,05; -0,67; 18,68; 41; 11,84; -6,07
-0,18; 0,94; 0,65; 45,78; -30,27; -1,59; 0; -4,87; 1,39
0,12; 0,59; 1,01; 90,94; 7,26; 43,70; 1; -3,91; -8,45
-0,17; 0,24; 0,89; 20,63; 0,67; 3,97; 2; 1,61; -8,81
-0,21; 0,69; 0,66; -15,20; -2,93; 6,53; 1; -6,58; 4,60
