A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,19; -0,24; -0,99; 0,73; 1,16; 2,44; 20; 37,57; 32,65
-0,19; -0,24; -0,99; 0,98; 1,22; 2,69; 20; 37,33; 32,56
-0,18; -0,24; -0,99; 0,79; 0,98; 2,62; 20; 37,83; 32,25
-0,19; -0,24; -0,99; 1,16; 1,04; 3,17; 20; 38,54; 31,31
-0,19; -0,24; -0,99; 0,18; 1,16; 2,69; 20; 37,68; 31,51
-0,19; -0,24; -0,99; 1,10; 1,34; 2,56; 21; 37,98; 31,35
-0,19; -0,24; -0,99; 0,85; 1,04; 2,75; 21; 37,49; 32,63
-0,19; -0,24; -0,99; 0,79; 1,28; 2,69; 21; 37,76; 32,12
-0,19; -0,24; -0,99; 0,85; 1,10; 2,62; 21; 37,17; 32,75
-0,19; -0,24; -0,97; -0,79; 1,46; 2,26; 20; 37,44; 31,47
-0,19; -0,24; -0,99; 0,12; 1,22; 2,44; 20; 37,40; 32,13
-0,19; -0,24; -0,99; 1,46; 1,46; 2,38; 21; 38,04; 33,51
-0,19; -0,24; -0,99; 2,08; 1,40; 2,50; 21; 37,44; 30,79
-0,19; -0,24; -0,99; 1,53; 1,28; 2,62; 21; 37,45; 31,68
-0,18; -0,24; -0,99; 0,55; 0,98; 2,69; 20; 37,66; 31,77
-0,18; -0,24; -0,99; 0,55; 0,92; 2,87; 20; 37,40; 32,86
-0,18; -0,24; -0,99; 0,06; 0,92; 2,81; 21; 38,20; 32,36
-0,19; -0,24; -0,99; -0,55; 1,04; 2,87; 21; 38,28; 31,31
-0,18; -0,24; -0,99; 1,16; 1,28; 2,50; 21; 38,26; 31,48
-0,19; -0,24; -0,99; 2,01; 1,59; 2,56; 21; 37,49; 31,41
-0,19; -0,24; -0,99; 0,79; 1,22; 2,50; 20; 37,63; 31,15
-0,18; -0,24; -0,99; 1,04; 1,28; 2,62; 21; 37,68; 31,74
-0,18; -0,24; -0,99; 1,40; 1,10; 2,62; 21; 37,93; 31,51
-0,18; -0,24; -0,99; 0,92; 1,53; 2,44; 21; 37,61; 31,31
-0,19; -0,24; -0,99; 1,04; 1,34; 2,56; 21; 38,07; 32,76
-0,19; -0,24; -0,99; 0,85; 1,46; 2,44; 21; 37,76; 32,17
-0,18; -0,24; -0,99; 0,92; 1,22; 2,50; 21; 38,35; 32,56
-0,18; -0,24; -0,99; 1,10; 1,16; 2,56; 21; 38,45; 32,06
-0,18; -0,25; -0,99; 0,18; 1,04; 2,75; 21; 38,50; 31,98
-0,18; -0,24; -0,99; 1,22; 0,98; 2,75; 21; 38,11; 31,27
-0,18; -0,24; -0,98; 0,06; 0,98; 2,93; 21; 37,73; 31,41
-0,18; -0,25; -0,99; 0,12; 0,92; 2,56; 21; 37,81; 31,69
-0,18; -0,25; -0,98; -0,06; 1,28; 2,50; 21; 37,74; 31,74
-0,18; -0,25; -0,99; 1,04; 1,22; 2,62; 21; 37,79; 31,12
-0,18; -0,25; -0,99; 0,85; 1,16; 2,69; 21; 37,85; 32,06
-0,19; -0,25; -0,99; 1,10; 1,16; 2,56; 21; 37,61; 31,81
-0,18; -0,25; -0,99; 0,24; 1,04; 2,69; 21; 38,15; 31,96
-0,18; -0,25; -0,99; 0,67; 1,10; 2,75; 21; 37,87; 32,63
-0,18; -0,25; -0,99; 0,61; 1,10; 2,56; 21; 37,85; 32,14
-0,18; -0,25; -0,99; 0,24; 0,98; 2,75; 21; 38,43; 32,18
-0,18; -0,25; -0,99; 1,34; 1,22; 2,69; 21; 38,33; 31,35
-0,18; -0,25; -0,99; 1,04; 0,92; 2,81; 21; 38,45; 30,58
-0,18; -0,25; -0,99; 0,18; 1,10; 2,69; 21; 38,18; 31,53
-0,19; -0,25; -0,99; 1,71; 1,59; 2,56; 20; 37,89; 32,42
-0,18; -0,25; -0,99; 0,92; 1,28; 2,50; 21; 38,01; 31,56
-0,18; -0,25; -0,99; 0,92; 1,28; 2,62; 21; 38,50; 32,23
-0,18; -0,25; -0,99; 1,28; 1,10; 2,75; 21; 38,18; 31,24
-0,18; -0,25; -0,99; 1,28; 1,40; 2,62; 21; 38,20; 31,02
-0,18; -0,25; -0,99; 1,46; 1,46; 2,38; 20; 37,44; 32,28
-0,18; -0,25; -0,99; 1,71; 1,46; 2,26; 21; 38,09; 32,28
-0,18; -0,25; -0,99; 0,49; 1,04; 2,69; 21; 38,23; 31,20
-0,17; -0,26; -0,99; 1,04; 1,71; 2,26; 21; 38,51; 31,03
-0,18; -0,25; -0,99; 1,22; 1,53; 2,50; 21; 37,94; 31,47
-0,18; -0,25; -0,99; 0,55; 1,71; 2,44; 21; 38,23; 30,99
-0,18; -0,25; -0,99; 1,53; 1,16; 2,50; 21; 37,78; 31,07
-0,18; -0,25; -0,99; 0,98; 1,16; 2,56; 21; 37,30; 31,47
-0,18; -0,26; -0,99; 0,79; 1,22; 2,62; 21; 37,95; 31,97
