A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,03; -0,01; 0,97; 0,98; 1,22; 2,69; 60; 10,80; -67,05
-0,02; 0,01; 0,96; 0,67; 1,22; 2,62; 60; 11,23; -66,20
-0,02; -0,00; 0,96; 1,22; 1,16; 2,62; 59; 11,18; -65,71
-0,02; -0,01; 0,96; 0,98; 1,34; 2,50; 60; 11,11; -66,20
-0,02; 0,00; 0,97; 0,49; 1,22; 2,75; 59; 11,11; -65,72
-0,02; -0,00; 0,97; 0,92; 1,22; 2,62; 59; 10,94; -67,21
-0,02; -0,00; 0,97; 0,85; 1,22; 2,69; 59; 11,47; -65,81
-0,02; -0,02; 0,98; 2,81; 1,22; 2,69; 59; 11,72; -67,02
-0,02; 0,00; 0,98; 0,73; 1,22; 2,56; 59; 10,97; -66,05
-0,02; -0,00; 0,97; 0,79; 1,10; 2,75; 60; 10,94; -67,97
-0,02; -0,00; 0,97; 0,98; 1,28; 2,62; 60; 11,00; -67,11
-0,02; -0,00; 0,97; 0,92; 1,16; 2,69; 59; 11,44; -66,94
-0,02; -0,00; 0,97; 1,10; 1,34; 2,62; 60; 11,21; -67,16
-0,02; -0,00; 0,97; 0,79; 1,10; 2,62; 59; 10,96; -66,49
-0,02; -0,00; 0,97; 0,92; 1,28; 2,75; 59; 11,38; -66,69
-0,02; -0,00; 0,97; 0,98; 1,28; 2,69; 59; 11,07; -66,26
-0,02; -0,00; 0,97; 0,92; 1,16; 2,75; 59; 11,17; -67,60
-0,02; -0,00; 0,97; 0,92; 1,22; 2,62; 60; 11,17; -67,55
-0,02; -0,00; 0,97; 1,10; 1,28; 2,69; 59; 10,62; -66,28
-0,02; -0,00; 0,97; 1,22; 1,28; 2,69; 60; 11,32; -65,82
-0,02; -0,00; 0,97; 1,04; 1,22; 2,69; 60; 11,36; -66,28
-0,02; -0,00; 0,97; 0,85; 1,10; 2,81; 60; 11,12; -66,36
-0,02; -0,00; 0,97; 0,92; 1,10; 2,75; 59; 11,17; -66,39
-0,02; -0,00; 0,97; 0,85; 1,10; 2,56; 60; 11,52; -66,61
-0,02; -0,00; 0,97; 0,79; 1,16; 2,56; 60; 11,40; -66,15
-0,02; -0,00; 0,97; 0,92; 1,16; 2,69; 60; 11,02; -65,56
-0,02; -0,01; 0,95; 1,53; 1,22; 2,69; 59; 10,90; -67,43
-0,02; -0,00; 0,97; 0,92; 1,16; 2,81; 60; 10,99; -65,54
-0,02; 0,00; 0,96; 0,31; 1,34; 2,62; 59; 11,33; -66,66
-0,02; -0,00; 0,97; 0,92; 1,40; 2,50; 60; 10,96; -67,33
-0,02; -0,00; 0,97; 1,04; 1,28; 2,69; 59; 10,90; -65,42
