A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,20; -0,29; -0,98; 0,49; 0,37; 2,87; 23; 34,42; 36,39
-0,20; -0,29; -0,98; 2,01; 1,46; 2,56; 22; 34,94; 37,08
-0,20; -0,29; -0,98; 0,67; 0,67; 3,11; 22; 34,52; 37,48
-0,20; -0,29; -0,97; 1,10; 1,28; 2,38; 22; 34,59; 36,18
-0,20; -0,29; -0,98; 1,40; 0,79; 2,93; 22; 34,28; 36,23
-0,20; -0,29; -0,98; 2,50; 2,01; 2,08; 23; 34,75; 36,96
-0,20; -0,29; -0,98; 1,53; 1,04; 2,69; 22; 34,66; 36,72
0,38; 0,08; -0,05; -5,86; -125,55; 125,55; 26; 38,94; 32,12
0,26; 0,17; -0,37; 244,87; -222,05; -195,98; 37; 27,44; 28,91
0,00; -1,05; -0,67; -359,31; 15,56; 130,07; 34; 36,32; 21,44
0,56; -0,60; 0,01; -63,48; -210,21; 17,33; 41; 9,63; 28,31
0,06; -2,02; 0,55; 452,39; -108,89; 94,36; 32; 33,18; -6,98
-0,02; -1,55; -0,37; -41,08; -0,43; 12,39; 27; 42,52; 1,14
-0,11; -1,10; 0,83; -511,11; -23,99; 80,63; 25; 36,27; -12,22
0,82; -0,50; 0,44; 56,76; -163,51; 38,39; 43; 23,02; 0,48
-0,25; 0,75; -0,08; -79,28; -117,92; -326,23; 5; -10,74; 10,50
0,91; 0,09; 0,15; 82,15; 128,23; 98,39; 37; 14,77; -9,19
0,70; 0,50; -0,50; -1,53; 3,23; 1,59; 44; 11,18; 16,06
0,72; 0,62; 0,19; -3,23; 0,98; 3,17; 45; 10,72; 6,79
0,87; 0,26; -0,25; 286,99; -48,65; 27,53; 45; 15,66; 6,48
0,65; 0,65; -0,06; 469,42; 33,45; 23,19; 43; 7,57; 15,69
0,90; -0,31; -0,35; -335,82; 13,98; 18,37; 44; 8,92; 17,48
0,88; -0,39; -0,02; 404,48; -13,43; 26,06; 40; 20,42; 28,65
0,26; 0,93; 0,24; -505,00; 49,87; 1,53; 7; -2,06; -11,41
0,18; 0,36; -1,09; 881,59; -58,90; -17,15; 6; 4,41; 36,82
0,23; -1,21; 0,01; -357,97; 27,40; 71,35; 5; 46,30; 11,05
0,76; 1,63; 0,03; -95,09; 128,36; -189,82; 44; 13,73; 23,06
0,79; 0,17; 0,13; -19,84; 163,21; 173,40; 29; 33,53; -9,91
0,23; 0,11; 0,27; -133,61; -37,35; 14,40; 10; 10,17; -16,94
-0,22; 0,13; 0,93; 40,95; 18,80; 0,06; 2; 28,64; -15,99
-0,03; -0,01; 0,97; 0,92; 1,16; 2,56; 2; 31,92; -16,06
0,02; 0,05; 0,97; 0,98; 1,04; 1,71; 2; 32,03; -16,63
-0,02; -0,01; 0,97; 0,92; 1,22; 2,50; 2; 31,47; -16,41
-0,03; -0,01; 0,97; 0,79; 1,16; 2,50; 2; 31,91; -17,05
-0,03; -0,01; 0,97; 0,98; 0,98; 2,56; 2; 31,96; -17,14
