A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,03; -0,01; 0,97; 1,04; 1,16; 2,56; 1; 32,17; -17,10
-0,02; -0,01; 0,97; 1,10; 1,16; 2,56; 1; 32,19; -15,69
-0,02; -0,01; 0,97; 0,85; 1,16; 2,62; 1; 32,51; -16,17
-0,02; -0,01; 0,97; 0,92; 1,40; 2,75; 1; 32,28; -15,76
-0,02; -0,01; 0,97; 1,04; 1,16; 2,69; 1; 32,45; -16,92
-0,02; -0,01; 0,97; 0,98; 1,22; 2,62; 1; 32,50; -16,67
-0,02; -0,01; 0,97; 0,98; 1,28; 2,50; 1; 32,37; -16,80
-0,02; -0,01; 0,97; 0,98; 1,22; 2,75; 1; 32,43; -16,26
-0,03; -0,01; 0,97; 0,98; 1,28; 2,62; 1; 32,14; -17,41
-0,02; -0,01; 0,97; 0,92; 1,40; 2,62; 1; 32,37; -15,42
-0,02; -0,01; 0,97; 1,04; 1,22; 2,62; 1; 32,75; -17,20
0,08; 0,00; 0,98; 1,40; 17,21; 15,26; 1; 32,50; -17,61
0,84; 0,73; 0,23; 82,52; -23,50; 136,35; 44; 10,56; 19,25
0,80; 0,02; 0,50; -139,59; 35,71; 15,93; 44; 13,88; 5,40
0,69; 0,08; -0,68; 444,40; -45,78; 3,60; 44; 19,90; 17,47
0,31; 0,38; -0,76; -54,02; -294,13; 18,19; 43; 11,96; 23,41
-2,27; 0,19; 3,48; 11,72; -552,37; 615,23; 36; 20,87; -12,24
-3,59; 2,55; -0,22; -391,36; 999,02; 356,45; 34; -3,44; -2,94
-1,11; -1,72; 0,04; -459,59; -660,83; -345,15; 43; 22,40; 22,07
-3,05; 2,46; -0,17; -432,74; 930,11; 244,20; 28; 1,35; -12,27
-1,41; -1,68; -0,32; -672,55; -627,87; -411,62; 39; 36,00; 10,89
0,25; -1,99; 2,55; -211,00; 36,32; 135,93; 14; 22,95; -18,79
-3,92; -1,58; 0,60; 17,03; -966,49; 380,43; 24; 44,68; 5,63
-1,72; 1,68; -1,41; -436,04; 667,11; -324,71; 39; -5,09; 12,48
0,26; -0,43; 0,87; -128,17; 273,50; -187,44; 11; 33,24; -14,37
-0,09; -0,92; 0,59; 95,76; 224,55; -209,66; 29; 24,84; -13,70
0,53; -0,59; -0,54; 916,69; -44,49; 230,96; 22; 38,23; 30,76
0,53; 0,70; 0,19; -967,29; -40,47; -198,79; 44; 6,36; 14,84
0,74; 0,60; -0,06; 407,23; -18,01; 116,76; 46; 16,97; 11,85
0,30; 0,47; 0,86; -281,07; 55,36; -18,31; 39; 12,76; -6,65
0,83; 0,45; -1,02; 170,59; -170,10; 134,95; 45; 15,67; 3,34
-2,23; 1,08; -2,79; -150,63; -582,58; 320,13; 45; 12,30; 21,68
-2,29; -3,13; -4,00; -167,24; -341,43; 464,78; 38; 21,97; 31,24
-2,95; -0,25; 1,74; 80,44; 728,88; 196,41; 47; 12,68; 8,06
0,14; 0,86; -0,52; 34,06; 9,22; -2,14; 40; 1,37; 23,01
-0,16; 0,26; 4,00; -20,26; 148,25; -38,94; 46; 10,64; 9,11
-3,20; 1,65; -2,69; 150,15; 842,29; 83,13; 44; 11,87; 22,52
-1,59; 0,71; -0,71; 32,41; -586,00; 39,18; 43; 2,95; 12,62
-0,83; 3,92; -0,29; -72,02; 406,01; 178,83; 38; -4,37; 11,00
-1,15; -1,50; 0,08; -335,51; -427,37; 234,56; 43; 30,24; 7,53
0,21; 0,40; 1,10; -220,89; 216,98; -246,83; 38; 7,90; -6,85
0,63; 0,90; -0,78; -14,40; 6,23; 52,43; 44; 7,48; 15,37
0,02; -0,31; -1,30; -57,50; 50,90; 2,26; 35; 27,99; 38,39
-0,09; -0,11; -1,02; 1,53; 1,16; 2,56; 27; 17,07; 45,30
-0,09; -0,11; -1,02; 0,55; 1,28; 2,50; 27; 17,15; 46,47
-0,09; -0,11; -1,02; 0,98; 1,22; 2,69; 27; 16,99; 45,26
-0,09; -0,11; -1,02; 0,92; 1,16; 2,50; 28; 16,81; 45,84
-0,09; -0,11; -1,02; 0,43; 1,16; 2,56; 26; 16,99; 45,04
-0,09; -0,11; -1,02; 1,04; 1,22; 2,56; 27; 17,41; 45,47
-0,09; -0,11; -1,02; 0,92; 1,22; 2,56; 27; 16,99; 45,53
-0,09; -0,11; -1,02; 0,73; 1,28; 2,56; 27; 16,86; 45,39
-0,09; -0,11; -1,02; 0,67; 1,16; 2,44; 27; 17,22; 45,08
-0,09; -0,11; -1,02; 1,04; 1,16; 2,38; 27; 17,54; 45,62
-0,09; -0,11; -1,02; 0,85; 1,10; 2,44; 27; 17,20; 46,33
-0,09; -0,11; -1,02; 0,61; 1,16; 2,56; 28; 16,86; 45,28
-0,09; -0,11; -1,02; 0,79; 1,28; 2,62; 27; 17,00; 45,28
-0,09; -0,11; -1,02; 0,73; 1,16; 2,44; 27; 16,81; 45,15
-0,09; -0,11; -1,02; 0,85; 1,28; 2,56; 28; 17,00; 46,03
-0,09; -0,11; -1,02; 0,92; 1,16; 2,56; 27; 17,40; 45,68
-0,09; -0,11; -1,02; 0,98; 1,16; 2,32; 27; 17,27; 44,60
-0,09; -0,11; -1,02; 0,98; 1,16; 2,62; 27; 16,66; 46,68
-0,09; -0,12; -1,02; 0,98; 1,22; 2,44; 27; 18,29; 44,91
-0,09; -0,11; -1,02; 0,85; 1,04; 2,50; 27; 17,48; 46,46
-0,09; -0,11; -1,03; 1,16; 1,34; 2,44; 27; 16,72; 46,08
-0,09; -0,12; -1,02; 0,98; 1,10; 2,44; 27; 16,70; 45,81
-0,09; -0,11; -1,02; 1,22; 1,10; 2,44; 27; 17,25; 46,68
-0,09; -0,11; -1,02; 0,73; 1,22; 2,44; 27; 17,27; 46,19
-0,09; -0,11; -1,02; 0,98; 1,04; 2,50; 27; 17,18; 46,24
-0,09; -0,11; -1,03; 1,40; 1,10; 2,44; 27; 17,53; 45,52
-0,09; -0,12; -1,02; 0,79; 1,10; 2,44; 27; 17,65; 46,52
-0,09; -0,12; -1,02; 0,79; 1,10; 2,50; 28; 17,05; 44,78
-0,09; -0,11; -1,02; 0,92; 1,16; 2,38; 27; 17,15; 46,12
-0,09; -0,11; -1,02; 1,46; 1,10; 2,38; 27; 17,66; 45,18
-0,09; -0,11; -1,02; 0,31; 1,22; 2,56; 27; 17,14; 44,53
-0,09; -0,12; -1,02; 0,31; 1,34; 2,56; 27; 17,82; 45,69
-0,09; -0,12; -1,02; 1,59; 1,16; 2,38; 27; 17,65; 45,29
-0,09; -0,12; -1,02; 0,98; 1,16; 2,50; 28; 17,40; 45,00
-0,09; -0,12; -1,02; 0,92; 1,22; 2,44; 27; 17,27; 47,61
-0,09; -0,12; -1,02; 0,92; 1,10; 2,50; 27; 17,71; 46,34
-0,09; -0,12; -1,02; 1,04; 1,22; 2,62; 27; 17,49; 45,56
-0,09; -0,12; -1,02; 0,98; 1,16; 2,38; 28; 17,91; 45,26
-0,09; -0,12; -1,02; 0,85; 1,22; 2,56; 27; 18,16; 46,64
-0,09; -0,12; -1,02; 1,22; 1,16; 2,56; 27; 17,80; 46,11
